HGNC ID	Approved symbol	Approved name	Alias symbols	Alias names
HGNC:5	A1BG	alpha-1-B glycoprotein		
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	FLJ23569	
HGNC:24086	A1CF	APOBEC1 complementation factor	ACF, ASP, ACF64, ACF65, APOBEC1CF	
HGNC:7	A2M	alpha-2-macroglobulin	FWP007, S863-7, CPAMD5	
HGNC:27057	A2M-AS1	A2M antisense RNA 1		
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	FLJ25179, p170	
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1		
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2		
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1		
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	IGBS3S, IGB3S	iGb3 synthase, isoglobotriaosylceramide synthase
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	A14GALT, Gb3S, P(k)	Gb3 synthase, CD77 synthase, globotriaosylceramide synthase, lactosylceramide 4-alpha-galactosyltransferase
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	alpha4GnT	
HGNC:13666	AAAS	aladin WD repeat nucleoporin		aladin, Allgrove, triple-A, adracalin
HGNC:21298	AACS	acetoacetyl-CoA synthetase	FLJ12389, SUR-5, ACSF1	acyl-CoA synthetase family member 1
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1		
HGNC:17	AADAC	arylacetamide deacetylase	DAC, CES5A1	
HGNC:24427	AADACL2	arylacetamide deacetylase like 2	MGC72001	
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1		
HGNC:32037	AADACL3	arylacetamide deacetylase like 3	OTTHUMG00000001887	
HGNC:32038	AADACL4	arylacetamide deacetylase like 4	OTTHUMG00000001889	
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1		
HGNC:17929	AADAT	aminoadipate aminotransferase	KATII, KAT2, KYAT2	kynurenine aminotransferase II, L kynurenine/alpha aminoadipate aminotransferase
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein	FLJ11506, p34	
HGNC:19679	AAK1	AP2 associated kinase 1	KIAA1048, DKFZp686K16132	
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	PTD015, FLJ21035, CK067	
HGNC:18	AAMP	angio associated migratory cell protein		
HGNC:19	AANAT	aralkylamine N-acetyltransferase	SNAT	serotonin N-acetyltransferase
HGNC:15886	AAR2	AAR2 splicing factor	bA234K24.2	
HGNC:33842	AARD	alanine and arginine rich domain containing protein	LOC441376	Alanine and arginine-rich domain-containing protein
HGNC:20	AARS1	alanyl-tRNA synthetase 1	CMT2N, AlaRS	alanine tRNA ligase 1, cytoplasmic
HGNC:49894	AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1		
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	KIAA1270, bA444E17.1	alanine tRNA ligase 2, mitochondrial
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	MGC2744, AlaXp	
HGNC:54994	AARSD1P1	AARSD1 pseudogene 1		
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	NRPS998, LYS2, ACSF4	acyl-CoA synthetase family member 4, Beta-alanine-activating enzyme
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	LYS5, CGI-80, AASD-PPT, ACPS	holo ACP synthase, holo-[acyl-carrier-protein] synthase
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	LORSDH, LKRSDH	alpha-aminoadipic semialdehyde synthase, lysine ketoglutarate reductase/saccharopine dehydrogenase
HGNC:51526	AATBC	apoptosis associated transcript in bladder cancer		apoptosis-associated transcript in bladder cancer
HGNC:19235	AATF	apoptosis antagonizing transcription factor	DED, CHE-1, CHE1, BFR2	
HGNC:21	AATK	apoptosis associated tyrosine kinase	AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	lemur tyrosine kinase 1, protein phosphatase 1, regulatory subunit 77
HGNC:22	AAVS1	adeno-associated virus integration site 1	AAV	
HGNC:49667	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	INXS	apoptotic BCL-X-associated long ncRNA, intronic BCL-XS-inducing lncRNA
HGNC:23	ABAT	4-aminobutyrate aminotransferase	GABAT, GABA-T	4-aminobutyrate transaminase, gamma-aminobutyrate aminotransferase, GABA transaminase
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	TGD	Tangier disease
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2		
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	ABC-C, EST111653, LBM180	
HGNC:55707	ABCA3P1	ABCA3 pseudogene 1		
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	FFM, ARMD2, CORD3	Stargardt disease
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5	EST90625	
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6	EST155051	
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7	ABCX	
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8	KIAA0822	
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9	EST640918	
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1		
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10	EST698739	
HGNC:31	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	EST1133530, FLJ14297	
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	DKFZP434G232, LI2	
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13	FLJ33876, FLJ33951	
HGNC:32972	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene		
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	P-gp, CD243, GP170, ABC20, p-170	multidrug resistance protein 1
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	MDR2, PFIC-3, GBD1	
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5	EST422562, ABCB5beta, ABCB5alpha	P-glycoprotein ABCB5, ATP-binding cassette protein
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	EST45597, umat, MTABC3	ATP-binding cassette half-transporter
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	EST140535, Atm1p, ASAT	
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8	EST328128, M-ABC1, MABC1, MITOSUR	mitochondrial ABC protein
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9	EST122234	
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10	EST20237, M-ABC2, MTABC2	ATP-binding cassette sub-family B member 10, mitochondrial, ATP-binding cassette transporter 10, ABC transporter 10 protein, mitochondrial ATP-binding cassette 2
HGNC:14114	ABCB10P1	ABCB10 pseudogene 1	M-ABC2, MABC2	
HGNC:31129	ABCB10P3	ABCB10 pseudogene 3		
HGNC:31130	ABCB10P4	ABCB10 pseudogene 4		
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	ABC16, SPGP, PFIC-2, PGY4	ABC member 16, MDR/TAP subfamily
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	GS-X	glutathione S-conjugate export pump
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	DJS, MRP2, cMRP	
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3	MRP3, cMOAT2, EST90757, MLP2, MOAT-D	canalicular multispecific organic anion transporter 2
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4	MRP4, EST170205, MOAT-B, MOATB	canalicular multispecific organic anion transporter (ABC superfamily), bA464I2.1 (ATP-binding cassette, sub-family C (CFTR/MRP), member 4), multidrug resistance-associated protein 4, multispecific organic anion transporter B
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5	MRP5, SMRP, EST277145, MOAT-C	
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1		
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	MRP6, EST349056, MLP1, URG7	
HGNC:33352	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1		
HGNC:33353	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2		
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	sulfonylurea receptor (hyperinsulinemia)
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9	SUR2, CMD1O	sulfonylurea receptor 2
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10	EST182763, MRP7, SIMRP7	
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11	MRP8	
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12	MRP9	
HGNC:16022	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	PRED6, C21orf73, ABCC13P	
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	AMN, ALDP, adrenoleukodystrophy	
HGNC:62	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1		
HGNC:63	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	bA453N3.6	
HGNC:64	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3		
HGNC:65	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4		
HGNC:42662	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5		
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2	ALDR, ALDRP	
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	PMP70, ZWS2	peroxisomal membrane protein 70 kDa
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	PMP69, P70R, EST352188	
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	RLI, OABP, RLI1	RNase L inhibitor 1
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	EST123147	
HGNC:53628	ABCF1-DT	ABCF1 divergent transcript		
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2	EST133090, ABC28, M-ABC1, HUSSY-18	
HGNC:54751	ABCF2-H2BK1	ABCF2-H2BK1 readthrough		
HGNC:48841	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1		
HGNC:48842	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2		
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3	EST201864	
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1	ABC8	ATP-binding cassette transporter 8
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	EST157481, MXR, BCRP, ABCP, CD338	
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4	WHITE2	putative ABC transporter, ATP-binding cassette, subfamily G, member 4
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5	STSL	sterolin 1
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8	GBD4	gallbladder disease 4, sterolin 2
HGNC:17553	ABHD1	abhydrolase domain containing 1	LABH1, FLJ36128	
HGNC:18717	ABHD2	abhydrolase domain containing 2, acylglycerol lipase	LABH2	
HGNC:18718	ABHD3	abhydrolase domain containing 3, phospholipase	LABH3	
HGNC:20154	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	FLJ12816	
HGNC:21396	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	CGI-58, NCIE2	
HGNC:21398	ABHD6	abhydrolase domain containing 6, acylglycerol lipase		
HGNC:23759	ABHD8	abhydrolase domain containing 8	FLJ11743, MGC14280, MGC2512	
HGNC:25656	ABHD10	abhydrolase domain containing 10, depalmitoylase	FLJ11342	Mycophenolic acid acyl-glucuronide esterase, mitochondrial
HGNC:16407	ABHD11	abhydrolase domain containing 11	PP1226	
HGNC:18289	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	NCRNA00035	non-protein coding RNA 35
HGNC:15868	ABHD12	abhydrolase domain containing 12, lysophospholipase	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	BEM46L3	
HGNC:20293	ABHD13	abhydrolase domain containing 13	bA153I24.2, FLJ14906, BEM46L1	
HGNC:24538	ABHD14A	abhydrolase domain containing 14A	DKFZP564O243, DORZ1	
HGNC:38856	ABHD14A-ACY1	ABHD14A-ACY1 readthrough		
HGNC:28235	ABHD14B	abhydrolase domain containing 14B	MGC15429, CIB	
HGNC:26971	ABHD15	abhydrolase domain containing 15		
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1	linc-TP53I13, lnc-TP53I13	
HGNC:13921	ABHD16A	abhydrolase domain containing 16A, phospholipase	NG26, D6S82E	
HGNC:16128	ABHD16B	abhydrolase domain containing 16B	dJ591C20.1	
HGNC:28756	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	MGC5244	
HGNC:28394	ABHD17AP1	ABHD17A pseudogene 1	C1orf47	
HGNC:34041	ABHD17AP3	ABHD17A pseudogene 3		
HGNC:34042	ABHD17AP4	ABHD17A pseudogene 4		
HGNC:34043	ABHD17AP5	ABHD17A pseudogene 5		
HGNC:34044	ABHD17AP6	ABHD17A pseudogene 6		
HGNC:38508	ABHD17AP7	ABHD17A pseudogene 7		
HGNC:38509	ABHD17AP8	ABHD17A pseudogene 8		
HGNC:38510	ABHD17AP9	ABHD17A pseudogene 9		
HGNC:24278	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	CGI-67	
HGNC:26925	ABHD17C	abhydrolase domain containing 17C, depalmitoylase		
HGNC:26111	ABHD18	abhydrolase domain containing 18	FLJ21106	
HGNC:11320	ABI1	abl interactor 1	E3B1, ABI-1	
HGNC:20035	ABI1P1	abl interactor 1 pseudogene 1		
