id	name	definition	synonyms
disease_ontology	DOID:0001816	angiosarcoma	A vascular cancer that derives_from the cells that line the walls of blood vessels or lymphatic vessels. [url:http\://en.wikipedia.org/wiki/Hemangiosarcoma, url:https\://en.wikipedia.org/wiki/Angiosarcoma, url:https\://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C3088, url:https\://www.ncbi.nlm.nih.gov/pubmed/23327728]	hemangiosarcoma
DOID:0002116	pterygium	A corneal disease that is characterized by a triangular tissue growth located_in cornea of the eye that is the result of collagen degeneration and fibrovascular proliferation. [url:https\://en.wikipedia.org/wiki/Pterygium_(conjunctiva)]	surfer's eye
DOID:0014667	disease of metabolism	A disease that involving errors in metabolic processes of building or degradation of molecules. [url:http\://www.ncbi.nlm.nih.gov/books/NBK22259/]	metabolic disease
DOID:0040001	shrimp allergy	A crustacean allergy that has_allergic_trigger shrimp. [url:https\://www.ncbi.nlm.nih.gov/pubmed/20471069] {comment=IEDB:RV}	
DOID:0040002	aspirin allergy	A drug allergy that has_allergic_trigger acetylsalicylic acid. [url:https\://www.ncbi.nlm.nih.gov/pubmed/2468301] {comment=IEDB:RV}	acetylsalicylic acid allergy,ASA allergy
DOID:0040003	benzylpenicillin allergy	A beta-lactam allergy that has_allergic_trigger benzylpenicillin. [url:https\://www.ncbi.nlm.nih.gov/pubmed/14483916] {comment=IEDB:RV}	benzyl penicillin allergy,penicillin G allergy
DOID:0040004	amoxicillin allergy	A beta-lactam allergy that has_allergic_trigger amoxicillin. [url:https\://www.ncbi.nlm.nih.gov/pubmed/11746950] {comment=IEDB:RV}	
DOID:0040005	ceftriaxone allergy	A cephalosporin allergy that has_allergic_trigger ceftriaxone. [url:https\://www.ncbi.nlm.nih.gov/pubmed/12833570] {comment=IEDB:RV}	rocephin allergy
DOID:0040006	carbamazepine allergy	A drug allergy that has_allergic_trigger carbamazepine. [url:https\://www.ncbi.nlm.nih.gov/pubmed/7602118] {comment=IEDB:RV}	carbamazepen allergy,Tegretol allergy
DOID:0040007	abacavir allergy	A drug allergy that has_allergic_trigger abacavir. [url:https\://www.ncbi.nlm.nih.gov/pubmed/25674793] {comment=IEDB:RV}	ABC allergy
